epsilon,cluster_id,count,final_bits,stable,residual_norm,max_real_eig,x_center,y_center
0.0,0,34,010,1,1.4728773e-16,-1.1298438,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,1,29,110,1,1.93574e-16,-1.1298438,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,2,28,101,1,1.4728773e-16,-1.1298438,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,3,27,001,1,1.4728773e-16,-1.1298438,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,4,23,000,1,1.93574e-16,-1.1298438,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,5,22,100,1,1.93574e-16,-1.1298438,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,6,22,011,1,1.93574e-16,-1.1298438,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,7,15,111,1,1.93574e-16,-1.1298438,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.02,0,35,001,1,3.9252311e-16,-1.2179959,-1.2149482 -1.2149482 1.2049066,-0.60747411 -0.60747411 0.60245331
0.02,1,30,110,1,3.9252311e-16,-1.2179959,1.2149482 1.2149482 -1.2049066,0.60747411 0.60747411 -0.60245331
0.02,2,27,000,1,1.4768888e-16,-1.0720784,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.02,3,25,100,1,3.9252311e-16,-1.2179959,1.2049066 -1.2149482 -1.2149482,0.60245331 -0.60747411 -0.60747411
0.02,4,25,010,1,3.9252311e-16,-1.2179959,-1.2149482 1.2049066 -1.2149482,-0.60747411 0.60245331 -0.60747411
0.02,5,21,101,1,3.9252311e-16,-1.2179959,1.2149482 -1.2049066 1.2149482,0.60747411 -0.60245331 0.60747411
0.02,6,19,011,1,3.9252311e-16,-1.2179959,-1.2049066 1.2149482 1.2149482,-0.60245331 0.60747411 0.60747411
0.02,7,18,111,1,1.9570181e-16,-1.0720784,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.2,0,40,000,1,3.87148e-16,-0.84308214,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.2,1,38,111,1,3.87148e-16,-0.84308214,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.2,2,23,011,1,0,-0.33749745,-0.99364796 1.1288824 1.1288824,-0.49682398 0.56444118 0.56444118
0.2,3,23,100,1,0,-0.33749745,0.99364796 -1.1288824 -1.1288824,0.49682398 -0.56444118 -0.56444118
0.2,4,22,101,1,0,-0.33749745,1.1288824 -0.99364796 1.1288824,0.56444118 -0.49682398 0.56444118
0.2,5,19,001,1,0,-0.33749745,-1.1288824 -1.1288824 0.99364796,-0.56444118 -0.56444118 0.49682398
0.2,6,18,010,1,0,-0.33749745,-1.1288824 0.99364796 -1.1288824,-0.56444118 0.49682398 -0.56444118
0.2,7,17,110,1,0,-0.33749745,1.1288824 1.1288824 -0.99364796,0.56444118 0.56444118 -0.49682398
2.0,0,112,111,1,4.9101488e-16,-0.52539811,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
2.0,1,88,000,1,4.9101488e-16,-0.52539811,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
