pattern_id,pattern_label,bits,fp_residual_at_mu,network_fp_residual,max_real_eig,hurwitz,target_voltage
0,digit_0_synthetic_prototype,0011110001100110011011100111011001100110011001100011110000000000,1.15210985891e-08,2.44867076295e-15,-0.795586489026,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
1,digit_1_synthetic_prototype,0001100000111000000110000001100000011000000110000011110000000000,1.88557258889e-08,2.89706434214e-15,-0.795586490403,1,-1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
2,digit_2_synthetic_prototype,0011110001100110000001100000110000110000011000000111111000000000,1.63477334223e-08,2.80805548835e-15,-0.795586489558,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
3,digit_3_synthetic_prototype,0011110001100110000001100001110000000110011001100011110000000000,1.09085109761e-08,2.77288763928e-15,-0.795586489494,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
4,digit_4_synthetic_prototype,0000110000011100001011000100110001111110000011000001111000000000,1.90165163068e-08,2.64954210848e-15,-0.795586489918,1,-1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
5,digit_5_synthetic_prototype,0111111001100000011111000000011000000110011001100011110000000000,1.58344716315e-08,2.87526623891e-15,-0.795586489573,1,-1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
6,digit_6_synthetic_prototype,0011110001100110011000000111110001100110011001100011110000000000,1.13322304368e-08,2.78736003232e-15,-0.795586489291,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
7,digit_7_synthetic_prototype,0111111001100110000001100000110000011000000110000001100000000000,1.79657968455e-08,2.5197591454e-15,-0.795586490003,1,-1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
8,digit_8_synthetic_prototype,0011110001100110011001100011110001100110011001100011110000000000,9.60738769572e-09,2.51052647301e-15,-0.795586489131,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
9,digit_9_synthetic_prototype,0011110001100110011001100011111000000110011001100011110000000000,1.01588852031e-08,3.03064086452e-15,-0.795586489212,1,-1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 1.2247449 1.2247449 1.2247449 1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449 -1.2247449
